name,lng,lat
肇庆市,112.465245,23.047747
惠州市,114.415587,23.112368
梅州市,116.122046,24.288832
汕尾市,115.375557,22.787204
河源市,114.700215,23.744276
阳江市,111.98343,21.856853
清远市,113.056098,23.682064
东莞市,113.751884,23.021016
中山市,113.392517,22.517024
潮州市,116.621901,23.657662
揭阳市,116.372732,23.550968
云浮市,112.044524,22.915163
南宁市,108.366407,22.8177
柳州市,109.428071,24.326442
桂林市,110.179752,25.235615
梧州市,111.279022,23.476733
北海市,109.120248,21.481305
防城港市,108.35467,21.686732
钦州市,108.654355,21.980894
贵港市,109.598903,23.11182
玉林市,110.18097,22.654001
百色市,106.61869,23.90307
贺州市,111.567216,24.404182
河池市,108.085244,24.692906
来宾市,109.221243,23.750105
崇左市,107.364973,22.377139
海口市,110.198418,20.045805
三亚市,109.511709,18.252865
三沙市,112.338649,16.831004
儋州市,109.580812,19.520948
五指山市,109.516784,18.774827
琼海市,110.474524,19.259112
文昌市,110.797473,19.544234
万宁市,110.392605,18.793697
东方市,108.651829,19.095187
定安县,110.358001,19.681215
屯昌县,110.101667,19.351662
澄迈县,110.007497,19.738885
临高县,109.690508,19.912025
白沙黎族自治县,109.4429,19.221641
昌江黎族自治县,109.055783,19.298139
乐东黎族自治县,109.173384,18.750063
陵水黎族自治县,110.037553,18.506045
保亭黎族苗族自治县,109.700279,18.640339
琼中黎族苗族自治县,109.838423,19.03327
重庆市,106.550483,29.563707
成都市,104.066301,30.572961
自贡市,104.779307,29.33924
攀枝花市,101.71846,26.582417
泸州市,105.441866,28.87098
德阳市,104.397795,31.127449
绵阳市,104.679127,31.467673
广元市,105.844004,32.435774
遂宁市,105.592602,30.53268
内江市,105.057992,29.58021
乐山市,103.766085,29.552275
南充市,106.110565,30.837235
眉山市,103.848417,30.077113
宜宾市,104.642826,28.752354
广安市,106.632647,30.456354
达州市,107.46778,31.209278
雅安市,103.041538,30.009998
巴中市,106.747548,31.867853
资阳市,104.627265,30.129236
阿坝藏族羌族自治州,102.224504,31.899427
甘孜藏族自治州,101.96231,30.04952
凉山彝族自治州,102.267713,27.881396
贵阳市,106.628201,26.646694
六盘水市,104.830357,26.592538
遵义市,107.031922,27.721931
安顺市,105.9476,26.253103
毕节市,105.291544,27.283615
铜仁市,109.189528,27.731555
黔西南布依族苗族自治州,104.906419,25.087733
黔东南苗族侗族自治州,107.982838,26.583759
黔南布依族苗族自治州,107.522303,26.253136
昆明市,102.833669,24.88149
曲靖市,103.796288,25.490866
玉溪市,102.526673,24.346786
保山市,99.161489,25.112018
昭通市,103.717078,27.338185
丽江市,100.225936,26.855165
普洱市,100.966011,22.825229
临沧市,100.088837,23.884175
楚雄彝族自治州,101.528304,25.045678
红河哈尼族彝族自治州,103.374873,23.363129
文山壮族苗族自治州,104.21567,23.400983
西双版纳傣族自治州,100.797002,22.009037
大理白族自治州,100.267608,25.606548
德宏傣族景颇族自治州,98.585621,24.433146
怒江傈僳族自治州,98.8566,25.817555
迪庆藏族自治州,99.70211,27.819149
拉萨市,91.171924,29.653491
日喀则市,88.880423,29.266838
昌都市,97.170425,31.142879
林芝市,94.361436,29.64875
山南市,91.771426,29.237722
那曲市,92.05151,31.477905
阿里地区,80.105786,32.500987
西安市,108.939645,34.343207
铜川市,108.945116,34.897133
宝鸡市,107.237682,34.362862
咸阳市,108.708837,34.329896
渭南市,109.470962,34.520632
延安市,109.49468,36.650109
汉中市,107.02319,33.066373
榆林市,109.734104,38.28576
安康市,109.029017,32.685435
商洛市,109.918646,33.873358
兰州市,103.834228,36.060798
嘉峪关市,98.2882,39.77325
金昌市,102.187972,38.521468
白银市,104.138872,36.545123
天水市,105.724828,34.581514
武威市,102.637821,37.92898
张掖市,100.449858,38.924766
平凉市,106.664913,35.542417
酒泉市,98.49432,39.733416
庆阳市,107.643433,35.709459
定西市,104.592342,35.607947
陇南市,104.960296,33.370174
临夏回族自治州,103.210386,35.601792
甘南藏族自治州,102.911736,34.983266
西宁市,101.777795,36.616621
海东市,102.41064,36.473448
海北藏族自治州,100.900944,36.954612
黄南藏族自治州,102.015397,35.519317
海南藏族自治州,100.622647,36.296399
果洛藏族自治州,100.245161,34.472179
玉树藏族自治州,97.006292,33.006308
海西蒙古族藏族自治州,97.33197,37.348114
银川市,106.230977,38.487783
石嘴山市,106.382792,38.984632
吴忠市,106.198613,37.997755
固原市,106.24267,36.01628
中卫市,105.19677,37.500185
乌鲁木齐市,87.616824,43.825377
克拉玛依市,84.889239,45.577712
吐鲁番市,89.190374,42.950736
哈密市,93.515053,42.819346
昌吉回族自治州,87.308995,44.011044
博尔塔拉蒙古自治州,82.066363,44.906039
巴音郭楞蒙古自治州,86.145298,41.764115
阿克苏地区,80.265068,41.170712
克孜勒苏柯尔克孜自治州,76.167327,39.714734
喀什地区,75.989746,39.470492
和田地区,79.921646,37.114406
伊犁哈萨克自治州,81.323691,43.917106
塔城地区,82.980316,46.745364
阿勒泰地区,88.141253,47.844924
石河子市,86.080397,44.305368
阿拉尔市,81.280532,40.547205
图木舒克市,79.074965,39.867776
五家渠市,87.542852,44.166489
铁门关市,85.670291,41.862997
