name,lng,lat
北京市,116.40114474433396,39.90277565497976
天津市,117.19521192889685,39.08431230999273
石家庄市,114.50900285443826,38.04138817372394
唐山市,118.17387081832709,39.62937201339268
秦皇岛市,119.51424800804399,39.88701396302688
邯郸市,114.5334229388667,36.62577008990109
邢台市,114.49148588163116,37.059734751250154
保定市,115.45820424593175,38.87357544178522
张家口市,114.87978524495414,40.76764722281213
承德市,117.95642230398728,40.9513614506371
沧州市,116.83292481713013,38.30411743976268
廊坊市,116.67763076381868,39.53720313414245
衡水市,115.66310011773139,37.738727614823084
太原市,112.54335856406222,37.86992737747488
大同市,113.35957755852839,40.09579120984494
阳泉市,113.57402395088894,37.85659102802953
长治市,113.11073000351432,36.19497616579607
晋城市,112.84591351291519,35.49172968331662
朔州市,112.42605952897297,39.33057254752803
晋中市,112.74614077048861,37.68732529157206
运城市,111.00123842588893,35.02740768554994
忻州市,112.72758073483662,38.41537720752653
临汾市,111.51309318390103,36.08870515112497
吕梁市,111.13817768771204,37.518219063042494
呼和浩特市,111.74189606013923,40.84068016437971
包头市,109.94746389588421,40.62020975291547
乌海市,106.7893897129287,39.6541053965044
赤峰市,118.88144215263097,42.25494092847026
通辽市,122.23775617905031,43.65120414034445
鄂尔多斯市,109.77676195953823,39.60772729173723
呼伦贝尔市,119.77114496894535,49.164606898900594
巴彦淖尔市,107.3821729623459,40.741539626222746
乌兰察布市,113.12495962635774,40.992757820255996
兴安盟,122.0316696562752,46.080401110203226
锡林郭勒盟,116.04054955646387,43.931027107699734
阿拉善盟,105.72486534923422,38.85098879325865
沈阳市,123.45863090829103,41.675224005527134
大连市,121.60984265800762,38.913184694859616
鞍山市,122.988684089632,41.106320199589774
抚顺市,123.95127762883813,41.879155086211476
本溪市,123.6791530176544,41.48470307829091
丹东市,124.34864766971592,39.99910055940059
锦州市,121.1212159019796,41.09406424668333
营口市,122.21396028238938,40.62347585477294
阜新市,121.66464337677688,42.01991761661554
辽阳市,123.23393286997995,41.265329309322276
盘锦市,122.16541423703276,40.717866778506256
铁岭市,123.71999711320991,42.22148208270511
朝阳市,120.48326847399402,41.59965833937217
葫芦岛市,120.83160769061608,40.70952492571879
长春市,125.3171363353078,43.81454427972397
吉林市,126.54402952743179,43.835878843385736
四平市,124.34439365110727,43.16418693190475
辽源市,125.13828083816244,42.88544305109874
通化市,125.93406400548383,41.726146847732416
白山市,126.40840720222639,41.9416192084142
松原市,124.81903403928997,45.13994033763386
白城市,122.83222897180634,45.6182211807776
延边朝鲜族自治州,129.4635379456236,42.90684896073144
哈尔滨市,126.52900996557615,45.80099935600745
齐齐哈尔市,123.9116428957814,47.352852506438815
鸡西市,130.96192871845324,45.29292244559115
鹤岗市,130.28983345073402,47.34821513335826
双鸭山市,131.13341157009148,46.67389088917373
大庆市,125.0970244071388,46.58739424182055
伊春市,128.83380969049657,47.72606494849258
佳木斯市,130.31112342246445,46.797780511235
七台河市,130.99531122126274,45.768953736097714
牡丹江市,129.62585148244585,44.549519811539135
黑河市,127.5209429320287,50.243263677634545
绥化市,126.96239109489429,46.652245764251134
大兴安岭地区,124.11023977616794,50.40959992691521
上海市,121.46914382245423,31.232467114772554
南京市,118.79144005782274,32.061419072997936
无锡市,120.30728041602599,31.492953198351838
徐州市,117.27799939770918,34.2055148961765
常州市,119.96934173336184,31.813353794604158
苏州市,120.58111650181456,31.301942356967054
南通市,120.89030630645817,31.98343915948465
连云港市,119.21595513143805,34.59767379043963
淮安市,119.10754476286782,33.55277707214488
盐城市,120.15768406248083,33.34961253038465
扬州市,119.40735368694637,32.39628357426762
镇江市,119.41899425785267,32.19001849881413
泰州市,119.91814674556923,32.458914671412835
宿迁市,118.26972209990737,33.96453331249313
杭州市,120.20625703859051,30.24845422387178
宁波市,121.62043799202966,29.86287669438838
温州市,120.69522094158627,27.99713122769303
嘉兴市,120.75130352569464,30.74911366954527
湖州市,120.08200990997804,30.896222123660596
绍兴市,120.57880559353195,30.054186302179602
金华市,119.64256022925339,29.082171321426777
衢州市,118.8545122353555,28.97331427690845
舟山市,122.20323721057504,29.987981041781662
台州市,121.41636182584384,28.658666721433903
丽水市,119.9188441108716,28.471099477306986
合肥市,117.22178474294732,31.822566198966037
芜湖市,118.42768389222181,31.354466180391295
蚌埠市,117.38271913316623,32.91852576471075
淮南市,117.0131033779404,32.587392220523526
马鞍山市,118.50167112756725,31.670756660313717
淮北市,116.79296520168121,33.95769135533783
铜陵市,117.8059561743811,30.947506678784343
安庆市,117.10984229897241,30.534093095788307
黄山市,118.33243817319199,29.717284272345037
滁州市,118.32801226027259,32.25787662456619
阜阳市,115.80888144159906,32.893029946016284
宿州市,116.95880640687055,33.64929029741055
六安市,116.51464703161604,31.737957609080514
亳州市,115.7730483098899,33.847728203972686
池州市,117.49020910980526,30.67663262919593
宣城市,118.7540040073736,30.941498971693136
福州市,119.2916113725977,26.077388015749772
厦门市,118.08393291175081,24.48227393692977
莆田市,119.00292778384,25.456984284034945
三明市,117.63401915171568,26.266879953073005
泉州市,118.67117718480827,24.877360273754917
漳州市,117.64251128946931,24.51827557749506
南平市,118.07612858996677,27.38588324143696
